,ano,Total mulheres,Porcentagem de mulheres,Média Salarial,Diferença Salarial,Média Homens,Salário/hora,Diferença Salário/hora,Salário/hora homens,Vínculo precários mulheres,Porcentagem de vínculos precários mulheres,Horas trabalhadas (mulheres),Diferença horas contratadas,Horas trabalhadas homens,Idade média (mulheres),Diferença idade,Idade média (homens),t - Salário,t - Horas,t - Salário/hora,t - idade
0,1985,3639,0.33949062412538483,7.858452871668041,-0.17231918875498065,9.494545197740115,,,,39,0.4431818181818182,0.0,,0.0,0.0,,0.0,6.0561804659716806e-24,NA,NA,NA
1,1986,4739,0.3738856015779093,7.736066680734332,-0.16345912660538484,9.24768523185484,,,,65,0.4276315789473684,0.0,,0.0,0.0,,0.0,1.389707445497242e-26,NA,NA,NA
2,1987,5092,0.37878449750799675,8.6100706991359,-0.13456200361371318,9.948801341156749,,,,60,0.4411764705882353,0.0,,0.0,0.0,,0.0,1.5143230336132783e-18,NA,NA,NA
3,1988,5428,0.39441941578258977,8.708135593220339,-0.13137072956930484,10.025146388288938,,,,66,0.41509433962264153,0.0,,0.0,0.0,,0.0,6.261977483550454e-17,NA,NA,NA
4,1989,5790,0.3713442791174962,8.628822107081174,0.0001763652679324823,8.627300550907979,,,,66,0.36464088397790057,0.0,,0.0,0.0,,0.0,0.9922625240901833,NA,NA,NA
5,1990,5994,0.38351781943822383,10.21342842842843,-0.06064702418717201,10.87283341982356,,,,67,0.4110429447852761,0.0,,0.0,0.0,,0.0,0.00018083362020345208,NA,NA,NA
6,1991,6496,0.42393787117405207,10.318402093596058,-0.10748749426457863,11.561072844681092,,,,92,0.431924882629108,0.0,,0.0,0.0,,0.0,3.4411647841911563e-11,NA,NA,NA
7,1992,5995,0.41502249913464867,10.327157631359466,-0.06321883220983887,11.024087573964497,,,,110,0.3942652329749104,0.0,,0.0,0.0,,0.0,9.598919661821348e-05,NA,NA,NA
8,1993,6210,0.4281872715989795,9.67545732689211,-0.04237954775595156,10.103645242976004,,,,192,0.5303867403314917,0.0,,0.0,0.0,,0.0,0.010134660296370149,NA,NA,NA
9,1994,6743,0.43914034516444156,11.197975678481388,-0.05238231991767816,11.81697631212262,,,,97,0.48258706467661694,33.542186571598336,-0.004060901619789897,33.678953488372095,31.989767165949875,-0.13895784365991234,37.152382064455864,0.0009675774114255194,0.20181975729536825,,7.622477335775365e-219
10,1995,7129,0.4462597809076682,11.90705147987095,-0.05456620096252226,12.594273117793353,,,,96,0.3950617283950617,33.6067967982025,-0.005442971946502828,33.79071873231466,32.19851290684624,-0.13555368089973516,37.247556262787,0.0005062888978913762,0.1067482852882214,,4.705921544781821e-218
11,1996,7509,0.46369025565024086,12.650704487947795,-0.08467314834336313,13.820969487622337,0.3964791871894358,,,92,0.38016528925619836,33.53043015048608,-0.006920943690659236,33.764109652153884,32.244838151059014,-0.13390206435251073,37.230013863216264,2.2332239899307987e-08,0.039482320531086426,,6.485195315957785e-219
12,1997,7902,0.47243812029176135,13.33009997468995,-0.06323314582038707,14.229901405258385,,,,128,0.44912280701754387,33.780506329113926,-0.0023704317306268213,33.86077097505669,32.11244776497404,-0.1366683025841188,37.19595592411678,6.224925706625048e-06,0.488230587209735,,9.606275100649534e-235
